raga_id,raga_name,raga_artist,raga_duration,raga_audio_track,raga_effect,raga_audio_path
Raga Basant_38,Raga Basant,Ulhas Kashalkar,0:10:51.840000,https://p.scdn.co/mp3-preview/680526348d52dc52e62aa31c45f25350058b1046?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Ulhas Kashalkar\Raga Basant_Ulhas Kashalkar.mp3
Raga Basant_39,Raga Basant - Piya sang khelu hori,Sanjeev Chimmalgi,0:01:20.353000,https://p.scdn.co/mp3-preview/80cac8b76f0142be176436d32cb458233f09de71?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Sanjeev Chimmalgi\Raga Basant - Piya sang khelu hori_Sanjeev Chimmalgi.mp3
Raga Basant_40,Raga Basant,Humankind Orchestra,0:04:15.544000,https://p.scdn.co/mp3-preview/1797c05688b828a555ec2e1f7bdd6e4dbc5c32ae?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Humankind Orchestra\Raga Basant_Humankind Orchestra.mp3
Raga Basant_41,Raga Basant,Bhimsen Joshi,0:10:09.523000,https://p.scdn.co/mp3-preview/62e14886c3a73516de6616029101f9d112b04801?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Bhimsen Joshi\Raga Basant_Bhimsen Joshi.mp3
Raga Basant_42,Raga Basant,Traditional,0:22:12.860000,https://p.scdn.co/mp3-preview/87945912a07b1b7dc1e6fd8780ed08d453a1ad71?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Traditional\Raga Basant_Traditional.mp3
Raga Basant_43,Raga Basant Mukhari,Divyansh Harshit Srivastava,0:04:37.478000,https://p.scdn.co/mp3-preview/e2e94810198545507c4eb91d49220f63ffbbea23?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Divyansh Harshit Srivastava\Raga Basant Mukhari_Divyansh Harshit Srivastava.mp3
Raga Basant_44,Raga Basant Mukhari,Shivkumar Sharma,0:22:05.720000,https://p.scdn.co/mp3-preview/bfd79d38b85b69d917a81ab315ac8ec4a25d847c?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Shivkumar Sharma\Raga Basant Mukhari_Shivkumar Sharma.mp3
Raga Basant_45,Raga Basant Bahar,Ramesh Khaladkar,0:04:50.403000,https://p.scdn.co/mp3-preview/63e8a77fed07a5161068a280b0798931a539742d?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Ramesh Khaladkar\Raga Basant Bahar_Ramesh Khaladkar.mp3
Raga Basant_46,Raga Basant - Tintal,Ustad Nissar Hussain Khan,0:19:29.554000,https://p.scdn.co/mp3-preview/0965ed4c512baa86bd075b9be3f1b3e70f0e0ed0?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Ustad Nissar Hussain Khan\Raga Basant - Tintal_Ustad Nissar Hussain Khan.mp3
Raga Basant_47,Raga Basant Makhari,Turab Ali Khan,0:34:27.800000,https://p.scdn.co/mp3-preview/24a5cec520488020a90398ecf78ecc7438b3046d?cid=883d8de3b4fb48e9ab32028467324d90,,audio/Turab Ali Khan\Raga Basant Makhari_Turab Ali Khan.mp3
