raga_id,raga_name,raga_artist,raga_duration,raga_audio_track,raga_effect
Raga Ahir Bhairav_26,Awakening (Raga Ahir Bhairav) - Intro,Ken Zuckerman,0:01:36.960000,https://p.scdn.co/mp3-preview/7c59ee88d487dc895fd0ba648eec59c805f54f94?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_27,Raga Ahir Bhairav,Piu Mukherjee,0:10:55.244000,https://p.scdn.co/mp3-preview/2a2de87702cd67b0ea5067196a93d84225ff3ef8?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_28,Pibare Ramarasam: Raga Ahir Bhairav,Shashank,0:10:29.240000,https://p.scdn.co/mp3-preview/db1cfa7a04e4e24f6795c412ae995bde576332cb?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_29,"Raga Ahir Bhairav: Alaap, Jod and Jhala - Live",Shivkumar Sharma,0:29:42.642000,https://p.scdn.co/mp3-preview/c82834a2941fa181633d69fee440027b01c50ef7?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_30,Awakening (Raga Ahir Bhairav) - Slow theme & improvisaitions,Ken Zuckerman,0:03:37.440000,https://p.scdn.co/mp3-preview/943720eec05c284b97dae30ee7511117bdfb0aad?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_31,"Raga Ahir Bhairav: Vilambit Gat in Jhaptaal, Drut Gat in Ektaal - Live",Shivkumar Sharma,0:27:51.795000,https://p.scdn.co/mp3-preview/2cb1ac9ba228d5ceb3daf2d1bbd39c5f28522e51?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_32,Raga Ahir Bhairav: Jod & Jhalla,Indrajit Banerjee,0:06:33.992000,https://p.scdn.co/mp3-preview/0c3c10411b662e1d586d7ca95fd84b57feb58823?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_33,"Raga Ahir Bhairav Alap, Jor, Zala Bandish Teentaal - Evening Melody",Milind Tulankar,0:21:26.060000,https://p.scdn.co/mp3-preview/9d3ee720a70153e6eeb21fc7094ef4845137bc46?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_34,Raga Ahir Bhairav: Vilambit Gat (Teental 16 Beats),Indrajit Banerjee,0:11:01.232000,https://p.scdn.co/mp3-preview/570a9e0120cb52aab6292126e0031898a92ec036?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Ahir Bhairav_35,Raga Ahir Bhairav: Drut Gat & Jhalla,Indrajit Banerjee,0:15:01.124000,https://p.scdn.co/mp3-preview/52a22657ba09557fd014abcdbd61ad449a9b273f?cid=883d8de3b4fb48e9ab32028467324d90,
