raga_id,raga_name,raga_artist,raga_duration,raga_audio_track,raga_effect
Raga Bageshri_28,Raga Bageshri,Ustad Salamat Ali Khan,0:14:47.144000,https://p.scdn.co/mp3-preview/04d2641b334207a42dc509da07808cc2fc67d708?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_29,Raga Bageshri,Shujaat Khan,0:58:33.077000,https://p.scdn.co/mp3-preview/d3fee31aaf3381ff046d4bc20706636fe6b11f1c?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_30,Raga Bageshri,Ramesh Khaladkar,0:21:49.701000,https://p.scdn.co/mp3-preview/23d6109cbfa76c38aad5de15d0f0d744a62f1fe8?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_31,Raga Bageshri Khayal,Piyush,0:06:07.058000,https://p.scdn.co/mp3-preview/ee7c5f2cd27032364c46981478c7845c1233beb2?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_32,Raga Bageshri - Gat In Madhyalaya Teental (Live),Amjad Ali Khan,0:38:04.253000,https://p.scdn.co/mp3-preview/cc4fbc81bdf53d2a07386758a6f1e5b46d5be887?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_33,"Raga Bageshri - Alap, Jod, Jhala & Teental (16 Matras)",Ulhas Bapat,0:32:38.120000,https://p.scdn.co/mp3-preview/4f0f915f2d087ac7cfbcf1973b70eef4c4ccf2cb?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_34,Raga Bageshri - Live,Amjad Ali Khan,0:27:28.474000,https://p.scdn.co/mp3-preview/4c132d5b5e5aade2a17a8a469893fa1ea9a8baa8?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_35,Raga Bageshri: Alap,Yogendra,0:10:49.440000,https://p.scdn.co/mp3-preview/fc447cf194624ea147ba3b170544b2d7690c981a?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_36,Raga bageshri : Jor,Sukhvinder Singh Namdhari,0:11:53.600000,https://p.scdn.co/mp3-preview/49dc3a41133d013111f9e0ffbbb97143e63177cf?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_37,Raga Bageshri Alap,N. Rajam,0:07:35.203000,https://p.scdn.co/mp3-preview/6b6cc24bc59455018ee92a0f4f395eb54393d6fb?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_38,Raga Bageshri: Jod,Pradeep Barot,0:08:01.080000,https://p.scdn.co/mp3-preview/5e045d5e4361e02e9ee5e15b3bbabcf78abba5d2?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_39,Raga Bageshri: Jor,Debopriya Chatterjee,0:03:25.013000,https://p.scdn.co/mp3-preview/5ce1607ea3b2681a1c57aa3790173ec82feb3db4?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_40,Raga Bageshri in Teentaal,"Bhattacharya, Deben",0:07:41.391000,https://p.scdn.co/mp3-preview/f9b6352872de32121e47a34d949d8309f91a94d6?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_41,Raga Bageshri in Teentaal,Deben Bhattacharya,0:07:41.391000,https://p.scdn.co/mp3-preview/309ee361dd6a7b96df528d9243592e860f33212a?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_42,Raga Bageshri Bahar - Drut Bandish,Bhimsen Joshi,0:11:27.066000,https://p.scdn.co/mp3-preview/f28eccac846e6bc976a9737ee4bee145ceaa49ce?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_43,Raga Bageshri: Alap,Ramesh Khaladkar,0:04:53.250000,https://p.scdn.co/mp3-preview/2b6e6f17ed14088ddb15fb811ff8fcc7a1c41d30?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_44,Raga Bageshri: Alap,Pradeep Barot,0:14:26.880000,https://p.scdn.co/mp3-preview/0f1fb3979f21dd605311451c6458fa36566c2bb1?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_45,Raga Bageshri: Alap,Nasir Zahiruddin Dagar,0:26:34.693000,https://p.scdn.co/mp3-preview/48356a7ed4df5c7383e73dabdb0400899b9321bb?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_46,Raga Bageshri (Jod and Jhalla),Vishwa Mohan Bhatt,0:10:57.773000,https://p.scdn.co/mp3-preview/f353e9368c40374e2804b54a04cc940c6ec0aba7?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_47,Raga Bageshri: Alap,Debopriya Chatterjee,0:09:50.613000,https://p.scdn.co/mp3-preview/917f857aa521cbd4dcdbc6920ccab98411692525?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_48,Raga Bageshri: Alap,Ramesh Khaladkar,0:21:49.779000,https://p.scdn.co/mp3-preview/b4a43f56ae385c618a195530d71e98e27261e5c1?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_49,Raga bageshri : Alap,Sukhvinder Singh Namdhari,0:27:11.440000,https://p.scdn.co/mp3-preview/331fd7dacb9fc78846b4bb0a9c80d4c9ffd9eef6?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_50,Raga Bageshri - Tarana,Sadhana Kalpana,0:16:55.893000,https://p.scdn.co/mp3-preview/aa31c518519594367c2d1888a4c48c2032836f68?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_51,Raga Bageshri: Dhrut,Nasir Zahiruddin Dagar,0:10:38.200000,https://p.scdn.co/mp3-preview/10d66a317451ea1f77530837369d939f8f888d5a?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_52,Raga Bageshri: Jhalla,Hariprasad Chaurasia,0:03:21.813000,https://p.scdn.co/mp3-preview/7ab216f3b6156a66f815184ed810e64be2feb15a?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_53,"Ghanu Waje, Raga Bageshri - Live",Phil Scarff,0:06:11.280000,https://p.scdn.co/mp3-preview/4155ebe32a1b92168656ef86a6b0ba59b324110c?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_54,Raga Bageshri Kanada Jor,Tejendra Majumdar,0:08:14.039000,https://p.scdn.co/mp3-preview/d8b95541d45e9571aa888aa793ae89428b604fd2?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_55,Raga Bageshri (Alap),Joel Veena,0:22:35.075000,https://p.scdn.co/mp3-preview/00b69395513bec22b375e965a4ef1121777c3da7?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_56,Raga Bageshri (Composition in Vilambit Teental),Vishwa Mohan Bhatt,0:16:34.053000,https://p.scdn.co/mp3-preview/ed227c8bae96f3d5c7f1fbd20bdb4d572b73d469?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_57,Raga Bageshri Kanada Alap,Tejendra Majumdar,0:16:09.769000,https://p.scdn.co/mp3-preview/357c90a119d7abc887acc98b325afa7a45b24c94?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_58,Raga Bageshri Kanada Jhalla,Tejendra Majumdar,0:11:36.412000,https://p.scdn.co/mp3-preview/50cae51d89f1d5a7a6e195ff65d0ffae2e8b2937?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_59,Raga Bageshri Kanara - Tintal,Steve Oda,0:32:43.866000,https://p.scdn.co/mp3-preview/2f080d2eecebe2752f3c7df24d853aba6c497c8e?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_60,Raga Bageshri: Gat in Tintaal,Pradeep Barot,0:11:51.613000,https://p.scdn.co/mp3-preview/194e45878ca7844161925de9e968bf1cc2a23e2c?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_61,Raga bageshri : Gat in rupak tal,Sukhvinder Singh Namdhari,0:23:41.360000,https://p.scdn.co/mp3-preview/e150a3966f98b8df99e9011d98d469277bd28257?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_62,Good Night Raga Bageshri on Sitar,Umashankar Shukla,0:04:21.677000,https://p.scdn.co/mp3-preview/5a175f52fe27ca320e67a03c6347650825548867?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_63,Good Night Raga Bageshri on Flute,Milind Sheorey,0:04:43.356000,https://p.scdn.co/mp3-preview/1a250e273c0c9bbb7f063f20e85515fe5c450c76?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_64,Good Night Raga Bageshri on Violin,Ansh Sharma,0:04:39.056000,https://p.scdn.co/mp3-preview/85276d79438b1e4f6293e13ba7c7b023773ac4e5?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_65,Raga Bageshri : Gat In Rupak Taal,Hariprasad Chaurasia,0:23:42.986000,https://p.scdn.co/mp3-preview/e5db2d66c6a507209dbd38e7a357bd87dff531d8?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_66,Raga Bageshri: Gat in Rupak Taal,Pradeep Barot,0:11:15.746000,https://p.scdn.co/mp3-preview/b7df856bde146878fe1eadaa2fa394f4fa507107?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_67,"Raga Bageshri (Alap, Jod)",Kees Van Boxtel,0:14:23.983000,https://p.scdn.co/mp3-preview/97b0ae96708427164cc5104480e4c917a8e3f7c0?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_68,Raga Bageshri (Composition in Madhya and Drut Teental),Vishwa Mohan Bhatt,0:22:39.680000,https://p.scdn.co/mp3-preview/0f3f7fb9b9d809290137860116b494568298ff3b?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_69,Raga Bageshri: Gat In Drut Taal,Debopriya Chatterjee,0:09:02.493000,https://p.scdn.co/mp3-preview/f772f9a0ff01010ec344632f79dc360e5609b198?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_70,Raga Bageshri: Gat In Teentaal,Suchismita Chatterjee,0:14:39.933000,https://p.scdn.co/mp3-preview/087291f0f8b9311b41ab77b1dc5ee4bb74264b5d?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_71,Raga Bageshri (Tarana),Purbayan Chatterjee,0:15:05.533000,https://p.scdn.co/mp3-preview/e1c5e04abb2aa0e1d1492f0ab227922c2a497058?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_72,Raga Bageshri Bandish in Teentaal,N. Rajam,0:14:48.081000,https://p.scdn.co/mp3-preview/92ac072e5ec61c52482b2b9d40c43d9877693f21?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_73,Raga Bageshri (Teental),Kees Van Boxtel,0:12:12.502000,https://p.scdn.co/mp3-preview/f013f7cc37590bdffacc4b10355ad317f9b03620?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_74,"Raga Bageshri: Alap, Jor, Jhala - Live",Ustad Bidyut Khan,0:18:45.280000,https://p.scdn.co/mp3-preview/9e047f01f44623531e277613c90fe8d5ca950301?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_75,Indian Raga Bageshri Two-Step,Biptunia,0:02:28.784000,https://p.scdn.co/mp3-preview/6188d1f1bfc3a6d074b75eee53543deff803a5b4?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_76,Raga bageshri : Gat in drut teentaal,Vilayat Khan,0:14:52.293000,https://p.scdn.co/mp3-preview/e9e271bf147422144526f3ef37966c93f490416d?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_77,Raga Bageshri: Drut Bandish In Ektaal,Ashwini Bhide-Deshpande,0:05:41.733000,https://p.scdn.co/mp3-preview/fa77bc5bebfa9242a6af80811be4428abf191a56?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_78,Raga Bageshri - Gat In Drut Teentaal,Vilayat Khan,0:14:52.293000,https://p.scdn.co/mp3-preview/938de78847610082dab5948bc935aa718dbe1d96?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_79,Raga Bageshri Bandish in Drut Teentaal,N. Rajam,0:07:00.281000,https://p.scdn.co/mp3-preview/2ca7e0db5133635288da7230a324195f0ed4944e?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_80,Om Ramakrishna Sharanam - Raga Bageshri,Arun Kr. Roy,0:04:04.040000,https://p.scdn.co/mp3-preview/7fa4b48bd95f3a746e7b97bd706e82f6037347b9?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_81,Raga Bageshri - Gat In Vilambit Teentaal,Vilayat Khan,0:28:01.400000,https://p.scdn.co/mp3-preview/79659e4a3200380f0f6306a93b05874cf47bf005?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_82,Raga bageshri : Gat in vilambit teentaal,Vilayat Khan,0:28:01.400000,https://p.scdn.co/mp3-preview/e8af54dd8ee533a09531971d4083cbdd9a99ba07?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_83,Raga Bageshri Bandish in Ektaal (12 beats),N. Rajam,0:24:39.169000,https://p.scdn.co/mp3-preview/22734d92d565df3680a1400da3414c6950c8e2a8?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_84,Raga Bageshri: Vilambit Bandish In Teentaal,Ashwini Bhide-Deshpande,0:37:15.960000,https://p.scdn.co/mp3-preview/23309ffff84307dc0ba051b53223fc38eed9adc4?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_85,"Raga Bageshri (Hindustani) - Raga Sriranjani (Carnatic); Pallavi (Carnatic) - Bandish (Hindustani) - Teental - Adital, 16 Beats",N. Rajam,0:29:10.466000,https://p.scdn.co/mp3-preview/a1d07961ec8eccf779bad47594e34ac2d572e722?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_86,Raga Bageshri (Alap & Gat) Live At BLCS,C#,0:50:04,https://p.scdn.co/mp3-preview/e1496759091c98846183a71fe568673d82bdedb8?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_87,Raga bageshri Kanada : Khyal In Madhya Laya Teental,Bhimsen Joshi,0:20:18.493000,https://p.scdn.co/mp3-preview/6042acc2d61ecb76c78216517829e3cd403b6340?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_88,"Raga Bageshri: Alap, Vilambit, Drut Gat in Teen Taal",Buddhadev Das Gupta,0:37:45.431000,https://p.scdn.co/mp3-preview/536140cdac656a167fc390f76d00a1543d266028?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_89,Raga Bageshri & Chandrakauns - Khyal in Ektal [Sohat Gale Mala],C. R. Vyas,0:34:03.746000,https://p.scdn.co/mp3-preview/056c25cebe4a25b9fbeb7470bc921eecada1640e?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Bageshri_90,Raga Bageshri: Vilambit Ektaal & Drut Teentaal,Koushik Bhattacharjee,0:21:34.015000,https://p.scdn.co/mp3-preview/9613c3dbba0ebaf18a51d7a90883e9caeee2e878?cid=883d8de3b4fb48e9ab32028467324d90,
