raga_id,raga_name,raga_artist,raga_duration,raga_audio_track,raga_effect
Raga Yaman_30,Raga Bhairavi,Sangit Om,05:11.1,https://p.scdn.co/mp3-preview/68471cca5b677f07e97a4d345fe877a6c401689e?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_31,Raga Yaman,Amjad Ali Khan,16:25.4,https://p.scdn.co/mp3-preview/8de30a976701609f86b96781886987b9bac66734?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_32,Raga Yaman,Ashwini Bhide-Deshpande,27:03.0,https://p.scdn.co/mp3-preview/3043370495435deec978b5dfdf8e3af469c7d317?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_33,Magical Moments - Raga Yaman,Traditional,08:08.5,https://p.scdn.co/mp3-preview/c086accff4b04ab75f1e4d8616d04f51094437f2?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_34,Raga Yaman,Gangubai Hangal,31:50.2,https://p.scdn.co/mp3-preview/0415891cc42fab25e1a8fd59815b26001ed156a5?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_35,Tablet vs Sitar - Yaman - Ek taal,Anirudh Sharma,05:20.9,https://p.scdn.co/mp3-preview/bfbb88e580996880211ad995f182eaafbc4c634e?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_36,Raga Yaman Kalyan - Alap,Nikhil Banerjee,21:02.4,https://p.scdn.co/mp3-preview/f387a3c62316e61a6d3d4bc5294b17e79e2a032b?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_37,Raga Yaman,Flutewala,09:32.7,https://p.scdn.co/mp3-preview/08d81a5b42a6a18f5942291e262f7b63b6f80070?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_38,Raga Yaman Kalyan - Alap,Zia Mohiuddin Dagar,42:05.3,https://p.scdn.co/mp3-preview/0de5236be6ba9304cc7d73720c52784fdb49c1c5?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_39,Raga Yaman Kalyan,Bhimsen Joshi,24:05.7,https://p.scdn.co/mp3-preview/aef3fa987131f101026349cc6cbad3d264833917?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_40,Raga Yaman,Shaanti Tren,04:40.9,https://p.scdn.co/mp3-preview/c4ed826e3705f3bb39ae7d9a3f932763082ec30a?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_41,Raga Yaman,Shahid Pervez,11:31.0,https://p.scdn.co/mp3-preview/9fc169394d7f124e60db9cc9c8b65752c6debb78?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_42,Serenity - Raga Jaijaivanti,Amjad Ali Khan,13:49.6,https://p.scdn.co/mp3-preview/5d08d408fa23930154dddd45ac20cff50dbd8c48?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_43,Raga Yaman,Joel Veena,22:35.1,https://p.scdn.co/mp3-preview/97554936d50a3faeb6ef50468d9f14effebd5001?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_44,Raga Yaman Kalyan - Gat in Matta Taal,Nikhil Banerjee,18:18.2,https://p.scdn.co/mp3-preview/062db6a409d2cf41620af859968d2518b0daa28f?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_45,Raga Yaman,Wasifuddin Dagar,11:19.8,https://p.scdn.co/mp3-preview/f20c3b6a45da61ec47a603ad83e8e68e616c37c1?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_46,"Jake gati hai Hanuman ki, Vinay Patrika (Raga Mishra Yaman)",Pandit Chhannulal Mishra,03:57.5,https://p.scdn.co/mp3-preview/ed49f74d627e845f8cf79b997a7365e3f9356f4d?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_47,Raga Rageshwari - Teentaal,Amaan Ali Bangash,08:24.7,https://p.scdn.co/mp3-preview/5ee95cde6575e935681d8f2ef55f2cf6149a4141?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_48,Raga Yaman,Shashank Maktedar,38:09.1,https://p.scdn.co/mp3-preview/2ed76b3d971e099e2be83174915ac5be4ad4caef?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_49,Raga Yaman - Vilambit and Drut Bandish and Tarana,Bhimsen Joshi,54:33.3,https://p.scdn.co/mp3-preview/b32f557d5000b045fb3177707bd441acce862153?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_50,Raga Yaman,Chintan Katti,0:09:44,https://p.scdn.co/mp3-preview/e814142546c964ff50c0e7d6282751836cd30100?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_51,Sacral Chakra (Vam) Seed Chants: Raag Yaman,Meditative Mind,07:07.0,https://p.scdn.co/mp3-preview/4bc13437acee438d0901989ef5eaa7e03f562bce?cid=883d8de3b4fb48e9ab32028467324d90,
Raga Yaman_52,Raga Yaman,Shubha Mudgal,33:05.1,https://p.scdn.co/mp3-preview/5a3c03412c7c0cf4967ee8e7b1ff5a7160a54af3?cid=883d8de3b4fb48e9ab32028467324d90,
